Datetime,Open,High,Low,Close,Volume
1628724300.0,1.769998,1.77808,1.778595,1.769213,18806.47721343
1628724360.0,1.778639,1.777314,1.780433,1.775843,15588.45981358
1628724420.0,1.778884,1.780858,1.780858,1.774436,16608.7256696
1628724480.0,1.780868,1.781299,1.78287,1.779365,43204.08867515
1628724540.0,1.781646,1.781256,1.781646,1.77791,15509.38914618
1628724600.0,1.779947,1.779697,1.78091,1.777968,18772.85985963
1628724660.0,1.779012,1.78238,1.78238,1.778947,19366.16514698
1628724720.0,1.782577,1.789142,1.792413,1.782577,58177.52146615
1628724780.0,1.788462,1.791277,1.792397,1.788462,115782.57316535
1628724840.0,1.790679,1.786621,1.790679,1.783572,12492.48867631
1628724900.0,1.788343,1.794964,1.796,1.787195,22125.77647682
1628724960.0,1.796,1.798,1.8,1.794909,34118.86348878
1628725020.0,1.798663,1.798074,1.801371,1.795531,26226.51877787
1628725080.0,1.79726,1.79741,1.798435,1.794822,6989.9274
1628725140.0,1.79713,1.794236,1.797834,1.79051,224197.18300521
1628725200.0,1.794148,1.798915,1.800969,1.794148,24475.58919013
1628725260.0,1.799427,1.798516,1.799428,1.797517,16965.81796022
1628725320.0,1.79745,1.795554,1.79745,1.793638,9568.99952441
1628725380.0,1.794519,1.799425,1.800846,1.793638,40112.6629178
1628725440.0,1.799631,1.799298,1.800837,1.795881,69419.89391422
1628725500.0,1.799298,1.79433,1.799363,1.793628,112513.95337105
1628725560.0,1.794604,1.795277,1.795727,1.790679,3495.17460818
1628725620.0,1.795228,1.791386,1.795228,1.79107,21558.30267097
1628725680.0,1.79055,1.790953,1.790953,1.78891,13238.7649
1628725740.0,1.790036,1.794661,1.794661,1.788813,10298.03547561
1628725800.0,1.795277,1.795816,1.795816,1.792251,19360.28552622
1628725860.0,1.795255,1.798426,1.801157,1.794187,28737.32302781
1628725920.0,1.799262,1.800822,1.801164,1.799262,7432.52972418
1628725980.0,1.800065,1.805058,1.80623,1.800065,34932.7666252
1628726040.0,1.804136,1.805221,1.80612,1.802122,31370.8765
1628726100.0,1.804826,1.801628,1.806167,1.801628,47979.12331076
1628726160.0,1.801349,1.801829,1.80326,1.800286,68435.00231196
1628726220.0,1.80122,1.801731,1.802697,1.799606,7032.871
1628726280.0,1.801177,1.79821,1.801177,1.79634,23897.44739657
1628726340.0,1.79821,1.794887,1.801271,1.793613,45280.43842681
1628726400.0,1.794053,1.78974,1.7949,1.788391,45587.46968216
1628726460.0,1.790365,1.794,1.794,1.785995,84878.94732676
1628726520.0,1.794236,1.801622,1.802303,1.791885,84710.58017562
1628726580.0,1.800935,1.804814,1.8058,1.798882,46031.8016703
1628726640.0,1.805817,1.807534,1.81724,1.805817,166829.52545639
1628726700.0,1.80737,1.808065,1.809614,1.804,95565.26407048
1628726760.0,1.808569,1.82165,1.82165,1.807248,57567.90863241
1628726820.0,1.820442,1.823494,1.824632,1.818217,47276.5800668
1628726880.0,1.820296,1.825351,1.825351,1.820291,94579.42775455
1628726940.0,1.823654,1.825879,1.82588,1.821546,23730.36184961
1628727000.0,1.825879,1.82938,1.829399,1.823243,100773.70797459
1628727060.0,1.829094,1.82925,1.82997,1.828,10673.15736108
1628727120.0,1.829249,1.829653,1.83,1.828228,6254.51441886
1628727180.0,1.83,1.834618,1.8348,1.829972,64157.18909042
1628727240.0,1.834632,1.8359,1.835919,1.833095,108971.07799845
1628727300.0,1.835901,1.829346,1.8365,1.828997,122158.62085889
1628727360.0,1.829609,1.828069,1.829666,1.82423,34445.78103991
1628727420.0,1.827672,1.832526,1.83304,1.827672,23852.19826517
1628727480.0,1.831902,1.83322,1.8375,1.831902,48763.86299343
1628727540.0,1.833413,1.837326,1.837326,1.833413,15522.72075032
1628727600.0,1.835422,1.837315,1.837326,1.834493,6949.6423095
1628727660.0,1.837315,1.83353,1.83968,1.83353,114774.69075041
1628727720.0,1.833041,1.83649,1.839336,1.832309,109406.06197791
1628727780.0,1.836709,1.837481,1.837481,1.83353,75712.7698042
1628727840.0,1.838554,1.842014,1.844184,1.835796,176279.68534401
1628727900.0,1.841445,1.838,1.842014,1.834513,64452.14912311
1628727960.0,1.837755,1.834403,1.837755,1.83267,38013.33132054
1628728020.0,1.833418,1.84013,1.842518,1.833196,83375.56683361
1628728080.0,1.839187,1.835022,1.839187,1.834934,19665.18219921
1628728140.0,1.834838,1.839072,1.841,1.83441,53444.68194886
1628728200.0,1.837639,1.8277,1.837793,1.824,95617.05760731
1628728260.0,1.827866,1.823256,1.828323,1.818582,62355.64059815
1628728320.0,1.821533,1.819485,1.821533,1.815,31763.36993558
1628728380.0,1.818621,1.816783,1.819497,1.816494,8332.12065526
1628728440.0,1.816783,1.825656,1.826241,1.810964,124769.02664592
1628728500.0,1.826285,1.820733,1.827155,1.818744,99242.29513994
1628728560.0,1.821873,1.818852,1.822344,1.817508,42808.17282082
1628728620.0,1.8175,1.81808,1.818475,1.81508,8311.25458772
